,,Dimension of Athelete,,,
Athelete Personal Data,,,,,
ID,Name,Sex,Age,Height,Weight
115835,Lily Elisabeth Strmberg-von Essen,F,23,NA,NA
115836,Mris trombergs,M,21,186,90
115837,Zuzana Stromkov,F,23,171,61
115838,Mia Marianne Strmmer,F,26,171,75
115839,Antnio Stromp,M,17,NA,NA
115840,Anna-Karin Elisabet Strmstedt,F,25,173,64
115841,"F. Calvert ""Cal"" Strong",M,24,NA,NA
115842,"Harley de Witt ""Doc"" Strong, Jr.",M,19,NA,NA
115843,Irene Strong,F,19,NA,NA
115844,"Judith Ann ""Judy"" Strong",F,24,172,66
115845,"Kenneth ""Ken"" Strong",M,30,180,83
115846,Lori Gail Strong (-Ballard),F,16,157,52
115847,Peter Strong,M,25,172,67
115848,Shirley Elaine Strong,F,21,173,63
115849,Karen Ann Strong-Hearth,F,30,171,58
115850,"Hendrik Pieter ""Harry"" Stroo",M,20,NA,NA
115851,"Johanna Margaretha ""Jo"" Stroomberg (-Roele)",F,17,NA,NA
115852,Eberhard Stroot,M,25,182,78
115853,Ellen Strophal-Streidt (-Wendland-),F,20,168,55
115854,Annabella Stropparo,F,28,162,50
115855,Erika Strenreuther (-Gernandt),F,22,174,66
115856,"John Mantz Strotbeck, III",M,27,188,84
115857,Johanna Strotzer (Kuhfu-),F,25,172,59
115858,Panagiotis Stroubakos,M,28,187,72
115859,Grzegorz Strouhal,M,29,182,80
115860,Andrew George Stroukoff,M,25,NA,NA
115861,John Anthony Strover,M,25,NA,NA
115862,Esther Stroy (-Fair),F,15,160,48
115863,"Johan Hendrik ""Jan"" Strube",M,43,NA,NA
115864,Simon Strbin,M,26,181,73
115865,Christine Strbing,F,16,172,62
115866,Yelena Struchayeva,F,43,156,86
115867,Robert Felix Struckl,M,18,NA,NA
115868,Gunnar Struckmann,M,22,188,76
115869,Jan-Lennard Struff,M,26,196,87
115870,Kerri Allyson Strug (-Fischer),F,14,142,37
115871,Karel Struijs,M,27,NA,NA
115872,Silvia Strukel (-Gentili),F,36,NA,NA
115873,Marjan trukelj,M,27,183,70
115874,Hans Soelberg Struksns,M,34,NA,NA
115875,"Sidney ""Cy"" Strulovitch",M,23,NA,NA
115876,Antoaneta Ivanova Strumenlieva,F,20,173,57
115877,Maria Antonietta Rita Strumolo,F,19,163,59
115878,Helmut Strumpf,M,25,162,62
115879,Josef Struna,M,NA,NA,NA
115880,Jean Strunc,M,41,NA,NA
115881,Stanislav trunc,M,25,185,82
115882,Vra truncov (Linhartov-),F,22,175,66
115883,Ioana Strungaru (Crciun-),F,27,180,77
115884,Nataliya Gennadyevna Strunnikova,F,16,182,67
115885,Ernst Strupler (-Wespi),M,29,NA,NA
115886,Brbel Struppert (Schrickel-),F,21,158,50
115887,Nicole Sandra Struse,F,21,170,62
115888,"Edward Lisle ""Bill"" Strutt",M,49,NA,NA
115889,Faye Strutt (-Marshall),F,16,154,54
115890,Gerhard Strutz,M,20,NA,NA
115891,Hermann Strutz,M,21,170,73
115892,Martina Strutz,F,30,159,58
115893,Vladimir Vasilyevich Struzhanov,M,24,NA,NA
115894,Hans Struzyna,M,27,188,91
115895,Barbora Strcov (-Zhlavov),F,18,164,60
115896,Trevor Strydom,M,34,NA,NA
115897,Thorstein Thomassen Stryken,M,19,NA,NA
115898,Dmitry Strykov,M,21,185,90
115899,Franciszek Strynkiewicz,M,38,NA,NA
115900,Marius Strzalka,M,21,186,84
115901,"Thomas Paul ""Tom"" Strzalkowski",M,24,183,75
115902,Jerzy Jzef Strzaka,M,27,185,88
115903,Mieczysaw Jzef Strzaka,M,25,174,72
115904,Marceli Konrad Strzykalski,M,29,172,78
115905,Johan Christian Strm,M,24,183,90
115906,Einar Johan Strm,M,27,NA,NA
115907,Harald Aleksander Strm,M,26,NA,NA
115908,Jan-Axel Strm,M,18,180,74
115909,Michael Kisby Strm (-Jensen),M,25,191,90
115910,Roger Strm,M,27,180,75
115911,Rolf Greger Strm,M,23,184,72
115912,Ole Christian Strmberg,M,29,189,94
115913,Frank Juul Strmbo,M,25,181,110
115914,Hjalmar Strmme,M,19,NA,NA
115915,Nils Dag Strmme,M,23,170,57
115916,Nora Strmstad,F,27,NA,NA
115917,Thoralf Strmstad,M,27,NA,NA
115918,Lars Ove Strm,M,25,174,58
115919,Angus Stuart,M,22,NA,NA
115920,Vincent Anthony Stuart,M,28,NA,NA
115921,Barry Kenneth Stuart,M,22,169,72
115922,Bianca Stuart,F,24,NA,NA
115923,Charles Syme Stuart,M,21,NA,NA
115924,Dorothy Margaret Stuart Browne,F,NA,NA,NA
115925,Douglas Cecil Rees Stuart,M,23,NA,71
115926,John Stuart,M,NA,NA,67
115927,Katherine Louise Stuart,F,21,169,60
115928,Margaret Fiona Stuart (-Wall),F,22,NA,NA
115929,Marian Stuart (-Johnson),F,17,160,50
115930,"Wray ""Nik"" Stuart",M,29,163,65
115931,"Ronald A. ""Ron"" Stuart",M,NA,NA,NA
115932,Christian Stubbe,M,18,183,60
115933,Ludwig Fritz Ernst Stubbendorff,M,30,NA,NA
115934,Simeon Stubblefield,M,29,NA,NA
115935,Constance Lorraine Stubbs,F,22,160,55
115936,Norris Stubbs,M,19,173,68
115937,Rennae Stubbs,F,25,178,65
115938,Robert Stubbs,M,29,183,81
115939,"Frank Raymond Stubbs, Jr.",M,26,NA,NA
115940,Friedrich August Bernhard Stbecke,M,24,NA,NA
115941,Werner Mortimer Stuber,M,24,NA,NA
115942,Lisa Christina Stubli,F,28,158,44
115943,"Christa Stubnick (Seliger-, -Fischer)",F,22,159,52
115944,Conrad Stucheli,M,NA,NA,NA
115945,Karol Stuchlk,M,23,180,65
115946,Mojmr Stuchlk,M,25,NA,NA
115947,Christine Stckelberger,F,25,162,48
115948,Henri Stuckmann,M,17,NA,NA
115949,"Jennifer ""Jenn"" Stuczynski-Suhr",F,26,183,66
115950,Eugen F Studach,M,28,NA,NA
115951,Martin Andreas Studach,M,20,183,84
115952,Walter William Stude,M,34,185,95
115953,Sara Studebaker (-Hall),F,25,168,59
115954,Albert Stdemann,M,NA,NA,NA
115955,Drte Stdemann,F,24,170,59
115956,Mikhail Vladimirovich Studenetsky,M,22,NA,NA
115957,Katarna Studenkov,F,23,172,63
115958,Klavdiya Viktorinva Studennikova,F,17,172,56
115959,"Arthur Addison ""Art"" Studenroth",M,24,NA,NA
115960,Emil Studer,M,34,NA,NA
115961,Hans Studer,M,NA,NA,NA
115962,Jean-Ernst Studer,M,21,NA,NA
115963,Max Studer,M,NA,NA,NA
115964,Robert Studer,M,24,NA,NA
115965,Thomas Studhalter,M,23,193,87
115966,Catur Mei Studi,M,20,160,60
115967,Theodore Frederick Ted Studier,M,22,NA,NA
115968,Marina Guryevna Studneva (Babenko-),F,21,182,80
115969,"Johann ""Jan"" Studnicka",M,28,NA,NA
115970,Milan Studnika,M,24,186,100
115971,Svend Erik Studsgaard,M,33,188,98
115972,"Jeffrey ""Jeff"" Stuebing",M,25,180,74
115973,Philipp Ster,M,27,195,93
115974,Lisbet Stuer-Lauridsen,F,23,NA,NA
115975,Thomas Stuer-Lauridsen,M,21,191,78
115976,Fritz Stuessi,M,22,169,62
115977,Livio Stuffer,M,24,167,66
115978,Verena Stuffer,F,29,168,65
115979,Rutger Stuffken,M,25,171,50
115980,Judit Stugner (-Abahzi),F,22,175,84
115981,Ilka tuhec,F,23,172,72
115982,"Heinrich ""Heiner"" Stuhlfauth",M,32,NA,NA
115983,Fritz Sthlinger,M,24,NA,NA
115984,Jodie Stuhmcke,F,23,180,75
115985,Dmitry Pavlovich Stukalov,M,25,186,76
115986,Tatyana Sergeyevna Stukalova,F,28,160,63
115987,Aleksey Vitalyevich Stukalsky,M,25,180,NA
115988,Leon tukelj,M,25,NA,NA
115989,Ivar Stukolkin,M,19,189,77
115990,George William Stulac,M,22,170,70
115991,Joseph Stulac,M,29,183,83
115992,"Michael Duane ""Mike"" Stulce",M,23,191,123
115993,Peter Christian Stlcken,M,32,184,83
115994,Viktor Yuryevich Stulikov,M,18,189,83
115995,Helena Stulikov,F,NA,NA,NA
115996,"Robert Ernest ""Rob"" Stull",M,28,185,70
115997,Niklaus Stump,M,27,NA,NA
115998,Silvia Stump,F,18,157,50
115999,Jozef Stmpel,M,29,190,100
116000,Erich Stumpf,M,25,NA,NA
116001,Johan Leopold Stumpf,M,25,173,NA
116002,Remig Stumpf,M,22,193,88
116003,Jeanne Georgette Stunyo (-Korpak),F,20,157,54
116004,Giani Stparich,M,57,NA,NA
116005,"Douglas Annesley David ""Doug"" Stupart",M,26,NA,NA
116006,Roman Stupnicki,M,22,NA,NA
116007,Howard Michael Stupp,M,21,172,66
116008,Daryl Roy Sturdy,M,24,198,86
116009,Hanns Strer,M,36,NA,NA
116010,David Philip Sturge,M,28,194,87
116011,Natasha Sturges,F,21,163,57
116012,Colin Andrew Sturgess,M,19,180,77
116013,Peter Johnson Sturholdt,M,18,NA,NA
116014,Grard Sturla,M,NA,175,NA
116015,August Sturm,M,24,NA,NA
116016,Claudia Sturm,F,21,166,59
116017,Marco Johann Sturm,M,19,180,90
116018,Ronja Fini Sturm,F,20,165,55
116019,Simon Strm,M,23,185,83
116020,"Wilhelm ""Willi"" Sturm",M,24,NA,NA
116021,"Alfred ""Fred"" Strmer",M,24,180,71
116022,Norbert Sturny,M,24,190,87
116023,Daniel Andre Sturridge,M,22,188,76
116024,"John Duncan ""Jan"" Sturrock",M,21,NA,NA
116025,"Alexander Stuart ""Jock"" Sturrock",M,33,180,92
116026,Chandra Lavon Sturrup,F,24,163,61
116027,Caroline Sturzenegger (-Schwegler),F,20,160,53
116028,Paul Sturzenegger,M,21,NA,NA
116029,Radka tuskov,F,23,172,63
116030,"Edward ""Eddy"" Stutterheim",M,39,NA,NA
116031,Erwin Sttz,M,28,182,70
116032,Christian Sttzinger,M,19,189,79
116033,Monika Sttzle,F,18,166,62
116034,Khrystyna Petrivna Stuy,F,24,168,60
116035,Franois Stuyck,M,NA,NA,NA
116036,Zdenk tybar,M,30,183,72
116037,Bjrn Stybert,M,25,NA,NA
116038,Zdzisaw Witold Stycze,M,29,167,74
116039,Erik Styf,M,23,NA,NA
116040,Nadia Styger (-Hrlimann),F,27,171,70
116041,Ludk tyks,M,27,168,60
116042,Hugh Styles,M,26,185,79
116043,"Joseph ""Joe"" Styles",M,26,188,78
116044,William Kensett Styles,M,33,NA,NA
116045,Anna Stylianou,F,14,172,55
116046,Petter Erik Stymne,M,25,195,81
116047,Joseph Louis Stynen,M,25,NA,NA
116048,Yury Viktorovich Styopkin,M,28,193,100
116049,Dmitry Fyodorovich Styopushkin,M,26,185,96
116050,Andrzej Jzef Stypiski,M,25,NA,NA
116051,Stanisaw Styrczula,M,35,171,74
116052,Christian John Styren,M,27,176,73
116053,Svetlana Pavlovna Styrkina (-Moshchenok),F,27,168,61
116054,Karen-Sofie Styrmoe (-Oseid),F,21,NA,NA
116055,Emil Christian Str,M,23,198,95
116056,Johan Hostvet Sta,M,27,NA,NA
116057,Heidi Elin Stre,F,33,176,67
116058,Steffen Skr Strseth,M,21,187,92
116059,Su Bingtian,M,22,173,70
116060,Su Chun-Yueh,F,17,174,54
116061,Su He,M,22,NA,NA
116062,Su Hui,M,22,190,95
116063,Su Huijuan,F,24,179,72
116064,Su Li-Wen,F,27,171,57
116065,Su Liqun,F,19,177,74
116066,Su Po-Tai,M,27,184,72
116067,Su Rifeng,M,30,175,76
116068,Su Wanwen,F,25,168,56
116069,Su Wen-Ho,M,22,172,67
116070,Su Xiaohua,F,16,NA,NA
116071,Su Xinyue,F,24,178,94
116072,Su Yiping,F,25,172,64
116073,Su Yuling,F,23,158,50
116074,Derek Sua,M,28,NA,NA
116075,Seilala Mang Sua,F,22,187,109
116076,"Christopher ""Chris"" Sua'mene",M,23,186,87
116077,Jamil Suaiden,M,23,182,70
116078,Iloai Suaniu,F,17,178,68
116079,Abraham Surez,M,20,182,72
116080,Alejandro Surez Velzquez,M,23,176,66
116081,Osvaldo Juan Ariel Surez,M,32,190,94
116082,Carla Surez Navarro,F,19,162,62
116083,Carlos Suarez,M,19,158,NA
116084,Sergio Casimiro Surez Aime,M,18,178,75
116085,Charly Coronel Suarez,M,27,168,60
116086,Cirilo Surez Gonzlez,M,20,188,89
116087,Claudio Surez Snchez,M,27,181,75
116088,Eddy Surez Edua,M,23,173,57
116089,Emilio Leocadio Surez Agreda,M,27,185,102
116090,Erminio Antonio Surez Gauna,M,23,182,72
116091,"Mara Evangelina ""Eva"" Surez Garca",F,28,153,47
116092,Flix Surez Colomo,M,21,176,80
116093,Freddy Jos Surez Herrera,M,28,178,75
116094,Giovanni Marco Suarez,M,21,189,87
116095,Guillermo Adrian Surez Aspitarte,M,23,169,60
116096,Javier Amado Surez,M,20,166,61
116097,Jess Surez Daz Valgrande,M,24,NA,NA
116098,Jonathan Fernando Surez Freitez,M,25,172,76
116099,Jorge E. Surez Vallejos,M,26,165,61
116100,Jos David Surez Prez,M,27,186,81
116101,Juan Domingo Surez,M,24,180,81
116102,Leonel Surez Fajardo,M,20,181,68
116103,Leticia Surez,F,31,160,56
116104,Luis Alberto Surez Daz,M,25,181,81
116105,Manuel Surez Alberti,M,21,NA,NA
116106,Manuel Surez Barrios,M,22,NA,NA
116107,Manuel Surez-Pumariega Molezn,M,27,176,NA
116108,Narciso Surez Amador,M,20,180,79
116109,Nelson Surez,M,19,NA,NA
116110,Octavio Surez Calzadilla,M,20,170,67
116111,Osvaldo Roberto Surez,M,26,176,65
116112,Paola Lorena Surez,F,24,170,64
116113,Rafael Surez,M,24,NA,NA
116114,Ramiro Surez Garca,M,24,168,54
116115,Roberto Surez,M,28,NA,NA
116116,Salvador Surez Colin,M,36,169,60
116117,Oscar David Suazo Velzquez,M,20,183,75
116118,Julio Csar Suazo Bernrdez,M,21,178,65
116119,Maynor Ren Suazo Antunez,M,21,180,NA
116120,Ricky Achmad Subagja,M,21,172,62
116121,Jamie Chen Subandhi,F,26,163,58
116122,"Pernell Karl ""PK"" Subban",M,24,183,98
116123,Karola Sube (-Ziesche),F,16,153,40
116124,Jakob ubelj,M,NA,NA,NA
116125,Nizam-ud-din Subhani,M,34,168,111
116126,Guillermo Subiabre Astorga,M,25,171,71
116127,Antonio Subirana Castillejos,M,20,NA,NA
116128,Albert Subirats Altes,M,17,190,85
116129,Eduard Anatolyevich Suboch,M,18,NA,NA
116130,Ana Suboti,F,28,171,54
116131,Vaso Suboti,M,27,NA,NA
116132,Perumal Subramanian,M,24,168,69
116133,Raman Subramanyan,M,31,188,72
116134,Michal ubrt,M,31,196,87
116135,Nora Subschinski,F,16,159,57
116136,Antnio Salvador Sucar,M,21,200,100
116137,Pierre Succar,M,27,NA,NA
116138,Andrea Succi,M,31,183,84
116139,Mara Beln Succi,F,22,177,72
116140,Ida Such,F,24,162,54
116141,Jan Such,M,24,183,78
116142,Martina Such,F,23,170,56
116143,Jakub Suchek,M,19,182,64
116144,Franois Suchanecki,M,22,186,73
116145,Rudolf Suchnek,M,26,188,104
116146,Vra Suchnkov,F,23,NA,NA
116147,Josef Sucharda,M,37,NA,NA
116148,Kanet Sucharitakul,M,21,170,67
116149,Dominik Sucheski,M,25,181,75
116150,Mlanie Suchet,F,17,162,65
116151,Grigory Sergeyevich Suchkov,M,NA,NA,NA
116152,Milan Suchopr,M,20,192,89
116153,Jan Kazimierz Suchorzewski,M,41,NA,NA
116154,Dominik Such,M,22,185,98
116155,Jan Such,M,23,174,73
116156,Radoslav Such,M,29,188,90
116157,Ioan Silviu Suciu,M,22,169,66
116158,Wendel D. Suckow,M,24,188,102
116159,Kurt Sucksdorff,M,23,NA,NA
116160,Soner Sucu,M,21,166,60
116161,Friedrich Suda,M,21,176,60
116162,Kenji Suda,M,25,170,58
116163,Orhan Suda,M,20,NA,NA
116164,Svetlana Fyodorovna Sudak-Torun,F,29,172,92
116165,Marina Vladimirovna Sudakova (Yartseva-),F,27,165,66
116166,Attila Sudr,M,22,187,81
116167,Tams Sudr,M,18,NA,NA
116168,Tatyana Sudarikova,F,27,189,79
116169,I Nyoman Sudarma,M,19,171,74
116170,Maram Sudarmodjo,M,24,NA,NA
116171,I Gede Siman Sudartawa,M,17,NA,NA
116172,Bnyamin Suda,M,25,176,105
116173,Andrew Hancock Sudduth,M,22,191,91
116174,Jill Sudduth,F,24,172,54
116175,Eri Sudewo,M,41,165,60
116176,Aki Sudo,F,23,156,53
116177,Nikola Sudov,F,19,162,56
116178,rka Sudov,F,20,160,46
116179,Grzegorz Sudo,M,25,174,60
116180,Karl Sudrich,M,40,NA,NA
116181,Christi-Adrian Sudu,M,23,189,81
116182,Ender Petru Sudureac,M,26,188,96
116183,Keith Sudziarski,M,20,178,84
116184,Philip Sue,M,29,160,68
116185,Luis Pedro Suela Mndez,M,24,196,80
116186,Yuta Suenaga,M,23,178,72
116187,"Frederick G. ""Fred"" Suerig",M,26,NA,NA
116188,Gerardo N. Suero Correa,M,22,177,65
116189,Taimara Suero Coronado,F,20,174,67
116190,Ren Suetovius,M,24,182,83
116191,Shingo Suetsugu,M,20,178,68
116192,Satoko Suetsuna,F,27,168,59
116193,Hayato Sueyoshi,M,23,173,65
116194,Patrick Suffo Kengn,M,22,176,83
116195,Kyoji Suga,M,28,173,61
116196,Yoshima Suga,M,29,160,61
116197,Sadatoshi Sugahara,M,25,177,73
116198,Hitoshi Sugai,M,25,183,96
116199,Nadezhda Sugako,F,24,180,79
116200,Istvn Sugr,M,23,NA,NA
116201,Chieko Sugawara,F,27,162,57
116202,Kazuhiko Sugawara,M,24,165,50
116203,Koichi Sugawara,M,21,187,87
116204,Risa Sugawara,F,18,149,42
116205,Satoshi Sugawara,M,24,187,87
116206,Takeo Sugawara,M,22,174,83
116207,Yasaburo Sugawara,M,23,167,71
116208,Noriko Sugawara-Narazaki,F,23,157,52
116209,Yvonne de Montfort Boyer Sugden,F,16,NA,NA
116210,Lisandro D. Sugezky,M,43,183,94
116211,Tommy Sugiarto,M,28,175,71
116212,Takanori Sugibayashi,M,24,185,65
116213,Aiko Sugihara,F,16,146,35
116214,Miho Sugimori,F,26,156,49
116215,Teruhiro Sugimori,M,23,177,73
116216,Atsuko Sugimoto,F,25,163,67
116217,Kenyu Sugimoto,M,19,187,79
116218,Kimio Sugimoto,M,26,185,77
116219,Mika Sugimoto,F,27,165,100
116220,Noboru Sugimoto,M,18,NA,NA
116221,Sayuri Sugimoto,F,20,167,49
116222,Tatsuo Sugimoto,M,21,183,76
116223,Kuniyoshi Sugioka,M,18,181,70
116224,Akihito Sugisawa,M,30,170,64
116225,Katsuhiko Sugita,M,26,186,86
116226,Takeshi Sugita,M,24,165,68
116227,Yuichi Sugita,M,27,173,66
116228,Masayasu Sugitani,M,25,170,64
116229,Taizo Sugitani,M,20,170,63
116230,Toshiya Sugiuchi,M,19,175,82
116231,Masanori Sugiura,M,24,180,82
116232,Shigeo Sugiura,M,19,NA,NA
116233,Ai Sugiyama,F,21,161,56
116234,Akemi Sugiyama,F,23,175,63
116235,Kayoko Sugiyama,F,22,178,69
116236,Kento Sugiyama,M,23,175,83
116237,Ryuichi Sugiyama,M,23,168,67
116238,Sachiko Sugiyama,F,24,184,66
116239,Susumu Sugiyama,M,23,165,54
116240,Takeo Sugiyama,M,23,176,67
116241,Tsuneharu Sugiyama,M,24,175,118
116242,Wirmandi Sugriat,M,17,173,68
116243,Denis Lambert Sugrue,M,21,NA,NA
116244,Mahau Camargo Suguimati,M,23,184,78
116245,Fumie Suguri,F,21,157,45
116246,Suh Hyo-Won,F,29,159,54
116247,Mojca Suhadolc,F,23,169,62
116248,Ibrahim Suhaimi,M,20,175,73
116249,Roberts Suharevs,M,22,184,100
116250,Habib Suharko,M,23,NA,NA
116251,Hary Suharyadi,M,23,170,60
116252,Eckardt Suhl,M,25,180,74
116253,Ari Michael Suhonen,M,22,185,68
116254,Otto Armas Suhonen,M,28,NA,NA
116255,Seppo Ilmari Suhonen,M,24,184,82
116256,Martin August Sophus Suhr,M,26,NA,NA
116257,Erich Suhrbier,M,26,183,78
116258,"Wilhelm ""Willi"" Suhren",M,24,NA,NA
116259,Sui Baoku,M,19,182,72
116260,Sui Feifei,F,25,184,73
116261,Sui Jianshuang,F,19,177,51
116262,Sui Lu,F,20,153,43
116263,Sui Ran,M,24,193,96
116264,Sui Shengsheng,M,28,192,75
116265,Sui Xinmei,F,31,172,90
116266,"Jean Luc ""Suo"" Rosat",M,22,191,91
116267,Liisa Helena Suihkonen,F,24,159,54
116268,Silja Suija,F,19,181,70
116269,Kai Petri Suikkanen,M,28,188,89.5
116270,Raimo Rainer Suikkanen,M,25,178,79.5
116271,Jaakko Johannes Suikkari,M,26,180,78
116272,Pedro Suinaga,M,21,NA,NA
116273,Catherine Suire,F,29,168,60
116274,Jacques Guy Suire,M,17,178,72
116275,Ella Suitiala,F,24,163,63
116276,Herman Suizo,M,33,160,51
116277,Edita ujanov,F,23,190,73
116278,Diana Sujew,F,25,166,53
116279,Krzysztof Sujka,M,20,178,72
116280,Vladimir ujster,M,24,NA,NA
116281,Cyril Suk,M,37,180,80
116282,Suk Hyun-Jun,M,25,190,82
116283,Josef (Jaroslav) Suk,M,58,NA,NA
116284,Slavica uka,F,24,175,63
116285,Sukari,M,26,166,54
116286,Siha Sukarno,M,NA,NA,NA
116287,Teodors Sukatnieks,M,NA,NA,NA
116288,Chaiya Sukchinda,M,29,155,52
116289,Davor uker,M,20,182,83
116290,Remigijus ukeviius,M,22,166,61
116291,Sergey Ivanovich Sukhanov,M,25,NA,NA
116292,Alfina Sukhanova,F,24,160,64
116293,Dmitry Vladimirovich Sukharev,M,31,208,108
116294,Mikhail Mikhaylovich Sukharev,M,19,188,81
116295,Vladimir Georgiyevich Sukharev,M,28,179,76
116296,Anatoly Sukharkov,M,30,173,64
116297,Olga Leonidovna Sukharnova,F,21,192,94
116298,Viktor Sukhikh,M,28,NA,NA
116299,Oleg Borisovich Sukhoruchenko,M,26,180,83
116300,Sergey Nikolayevich Sukhoruchenkov,M,23,176,72
116301,Aleksandr Nikolayevich Sukhorukov,M,20,196,93
116302,Yuriy Oleksandrovych Sukhorukov,M,36,176,65
116303,Pavel Vladimirovich Sukhov,M,24,179,75
116304,Apinan Sukkaarphai,M,24,175,72
116305,Tony Sukkar,M,NA,NA,NA
116306,Nootcharin Sukkhongdumnoen,F,26,160,57
116307,Jevgenijus uklinas,M,26,196,109
116308,Teresa Sukniewicz (-Kleiber),F,19,170,58
116309,Goran Sukno,M,25,188,86
116310,Sandro Sukno,M,22,200,93
116311,"Grigory ""Greg"" Sukochev",M,24,196,86
116312,Pavel Alekseyevich Sukosyan,M,34,200,110
116313,Helena Sukov,F,23,188,68
116314,lyas krolu,M,NA,NA,NA
116315,"Supanara Suksawat, Na Ayutthaya",M,20,190,72
116316,Wijit Suksompong,M,30,167,70
116317,Eli Sukunda,M,27,180,70
116318,liby krov,M,27,182,73
116319,Mona Coco Sulaiman,F,18,165,59
116320,I Gusti Made Oka Sulaksana,M,25,170,70
116321,Tengiz Sulakvelidze,M,23,178,76
116322,Ari Juhani Sulander,M,29,187,86.5
116323,Juancarlos Antonio Juan-Carlos Sulbaran,M,18,188,110
116324,Werner Slberg,M,25,178,73
116325,Frantiek ulc,M,26,182,74
116326,Josef ulc,M,28,172,67
116327,Evija ulce (vne-),F,21,NA,NA
116328,Gustav Sule,M,25,180,83
116329,Niklas Sle,M,20,195,95
116330,Abdul Rahman Ahmed Suleiman,M,20,180,62
116331,Mohamed Ahmed Suleiman,M,18,175,63
116332,Servin Kudusovych Suleimanov,M,20,170,57
116333,Joanna Sulej,F,20,162,49
116334,Hafz Sleymanolu,M,24,NA,57.5
116335,Muharrem Sleymanolu,M,22,NA,75
116336,Naim Sleymanolu,M,21,150,62
116337,Nurhan Sleymanolu,M,25,175,63
116338,Elxan Sleymanov,M,26,160,62
116339,Renart Vafich Suleymanov,M,31,171,70
116340,Ilyas Duysenovich Suleymenov,M,21,167,NA
116341,Alexandru uli,M,23,NA,NA
116342,Ilirjan Suli,M,20,171,76.5
116343,Peauope Suli,M,24,190,90
116344,Renato Suli,M,28,197,98
116345,Dumitru Sulic,M,26,NA,NA
116346,Marina Sulicich (-Campbell),F,16,156,45
116347,Alex Misael Suligoy,M,21,180,90
116348,Hussain Omar Abdul Ghani Sulimani,M,19,172,NA
116349,"Catherine Ann ""Cathy"" Sulinski",F,26,175,76
116350,Eddy Sulistianto (Suprapto),M,26,171,84
116351,Wahid Yudhi Sulistianto,M,19,NA,NA
116352,Erma S. Sulistyaningsih,F,26,NA,NA
116353,Linn Jrum Sulland,F,28,178,NA
116354,Arthur Lindsay Sulley,M,21,NA,NA
116355,Massimo Sulli,M,28,NA,NA
116356,Marcel Sulliger,M,26,177,73
116357,Betsy Sullivan (-Sharp),F,16,159,50
116358,"Daniel Aubrey ""Dan"" Sullivan",M,24,178,70
116359,"Andrew Derek ""Drew"" Sullivan",M,32,203,98
116360,Eamon Wade Sullivan,M,18,189,78
116361,Erik Thomas Sullivan,M,28,193,NA
116362,"Francis Cornelius ""Frank"" Sullivan",M,34,180,81
116363,"Francis Gerald ""Frank"" Sullivan",M,29,NA,NA
116364,"John ""Jack"" Sullivan",M,33,NA,NA
116365,James Paul Sullivan,M,20,175,68
116366,"Joseph Albert Taylor ""Joe"" Sullivan",M,27,NA,NA
116367,"John ""Johnny"" Sullivan",M,NA,NA,NA
116368,Joseph Sullivan,M,25,182,82
116369,Kevin Roy Sullivan,M,26,180,67
116370,Lara Javaise Sullivan,F,26,167,61
116371,Marco Timothy Sullivan,M,21,180,93
116372,Michael J. Sullivan,M,41,163,76
116373,Michael Jeffrey Sullivan,M,24,188,93
116374,"Mary C. ""Molly"" Sullivan (-Sliney)",F,22,167,61
116375,Monique Sullivan,F,23,167,50
116376,"Nicholas Alexander ""Nick"" Sullivan",M,22,183,84
116377,"William Patrick ""Pat"" Sullivan",M,22,173,NA
116378,Rebecca Sullivan,F,28,164,52
116379,John Robert Sullivan,M,23,178,68
116380,Sean Sullivan,M,25,NA,NA
116381,"Terence Allman ""Terry"" Sullivan",M,24,155,58
116382,John Allen Sully,M,36,NA,NA
116383,Kenneth Sully,M,17,176,70
116384,Siergot Sully,M,25,171,63
116385,Mihai ul,M,27,160,62
116386,Abdullah Sultan,M,19,NA,NA
116387,Anwer Sultan,M,38,178,77
116388,Faye Sultan Hussain,F,17,182,67
116389,Hassan Sultan,M,21,177,74
116390,Jasem Yacoub Sultan,M,26,179,79
116391,Majed Saeed Sultan,M,16,190,62
116392,Majid Mohamed Al-Ali Sultan,M,16,182,106
116393,Marwa Sultan,F,17,NA,NA
116394,Mohammad Sultan,M,17,NA,NA
116395,Simret Sultan Ghebermichael,F,24,165,48
116396,Sabrina Sultana,F,25,151,45
116397,Basharmal Sultani,M,19,170,69
116398,Bakhodirdzhon Sultanov,M,19,166,57
116399,Rafikzhon Sultanov,M,20,166,48
116400,Firaya Rifkatovna Sultanova (-Zhdanova),F,35,166,52
116401,Emma Sulter,F,28,162,54
116402,Reinhold Sulzbacher,M,31,170,70
116403,Willy Sulzbacher,M,23,NA,NA
116404,Klaus Sulzenbacher,M,19,186,67
116405,Kurt Sulzenbacher,M,25,182,96
116406,Alexander Sulzer,M,21,187,92
116407,Cornelia Sulzer,F,24,NA,NA
116408,"Johann ""Hans"" Sulzer",M,18,175,83
116409,Eunice Jepkoech Sum,F,24,170,54
116410,Kanuti Arap Sum,M,NA,165,62
116411,Baba Ibrahim Suma-Keita,M,33,174,65
116412,Mariana Suman (Filip-),F,24,164,54
116413,Christoph Sumann,M,26,182,80
116414,Adille Sumariwalla,M,21,168,67
116415,Mikhail Nikolayevich Sumarokov-Elston,M,18,NA,NA
